ID,Name,Disciplines
2d420102-aa8a-4417-8d8b-9c0ad8a863b2,Laboratory for Molecular Cancer Biology (VIB-KUÂ Leuven Center for Cancer Biology),"['030122', '030124', '030622', '030624']"
4a2bea7a-85de-48af-884c-90cd66ea82b5,Applied mathematics,"['010103', '010203', '010207', '010107']"
4379ef55-75db-413e-8c9f-6c9a4e5eeaaa,Internationalization Services of the Faculty Bioscience Engineering,"['040103', '050702', '050703', '050799', '050701', '050704', '040102', '040101', '040199']"
64fdfcc9-49ff-441a-8deb-a6d63c55004f,Service for Educational Support Faculty PS,"['050305', '059999']"
e3e38c77-2449-4c5b-8f74-496250e3206f,Behavioural Sciences - Learning,"['050106', '050108', '050301', '050305']"
8dceaa08-a526-4105-a8ba-bfd77636b85d,Fisheries and Aquatic Production,[]
8fa93794-bbd8-4932-bb29-6220c55b07e6,Flanders' Bike Valley,['02999999']
261a34dd-5bb6-4dec-8503-7f1d6628f125,"Department of Decision Sciences and Information Management, Leuven","['050208', '050206']"
06cc0cef-eccc-4ada-bbf9-a8b7c25e52a7,Student Administration Office of the Faculty of Veterinary Medicine,"['049999', '010601', '040201', '040299']"
eb3d73e7-92fd-4042-a126-a6959f31a211,"Quantitative Lexicology and Variational Linguistics (QLVL), Antwerp Campus","['060202', '060205', '060299']"
0ba57f77-555c-4330-80ff-8b71c6772159,Faculty-wide Department of Work and Organisation Studies,"['050201', '050206']"
504e2f43-815f-477b-84fc-19e26f3c57b2,Institutes supported by the Biomedical Sciences Group,['010611']
de7ba0ec-8deb-41d5-a4e2-902eb0e10f6d,Behavioural Sciences - Governance,"['0502', '0504']"
7c920ce5-af87-4ceb-8225-e1c331731f6d,Research Center for Entrepreneurship and Innovation,['0502']
0923b0c4-d34e-46cf-9e2a-20369b0bcaed,"Comparative, Historical and Applied Linguistics, Kulak Kortrijk Campus","['060202', '060205', '060299', '050301', '060201', '060203']"
a913b575-4ab1-42d1-8143-e0a714023629,Smart Coating,['02999999']
69bdb181-c600-4506-bc58-e56238529c9a,Office of Secretariat and info,"['050801', '050899', '050805', '050803']"
961d799c-44c8-4634-938e-ac7382256595,PXL Bouw en energie,['02999999']
0b5eb381-30e6-4197-ab0e-5f0fc602a3ea, Flanders Hydraulics,[]
a69d363e-5914-4bb3-8e1c-56716d5ed853,"Biology, Kulak Kortrijk Campus","['010608', '010611', '030116', '030120', '030616', '030620', '010503', '010701', '010601', '010607', '030112', '030121', '030122', '030612', '030621', '030622']"
f4dea877-ed34-4291-ba2f-1f83554033bc,"Faculty of Psychology and Educational Sciences, Kulak Kortrijk Campus","['050103', '050107', '050199']"
b069ec53-a8c1-4e42-b7ed-a7254e76289c,"Faculty Centres, Faculty of Economics and Business",[]
606b31eb-07d5-4d29-9a6e-efc39b37f8ed,Centre for Academic Teacher Training,"['050301', '050302', '050304', '050308', '050399']"
bb235bff-72fa-49e3-b9b3-7d3d323568b0,Laboratories of the Faculty of Pharmaceutical Sciences,"['030504', '030507', '030506', '030501', '030599', '030502', '030510', '030509', '030508']"
63be7a3f-83a8-41f3-a2dc-1a589b94a759,Laboratory of Intensive Care Medicine,"['030101', '030115', '030601', '030615']"
3588d95d-dc81-424a-a8d5-8f7572a05d02,Department of Bioengineering,[]
78eb2547-9b74-45b5-b4e8-bf35126b6f21,Electromechanics,[]
347e9239-6cc1-42fc-ba17-2805079a0ba6,"Electrical Engineering Technology (ESAT), Diepenbeek Campus","['020205', '020206']"
f7be3132-2d9d-4778-b0c7-d6a79aa2db21,Educational Coordination,[]
ad19490d-cfad-4b66-9c41-10fb352be037,Economics and Law,[]
3e5c7a51-ce3f-4750-bafa-73b17055f435,Department of Management Information Systems,[]
c67d5ec0-4ab8-48f8-a774-ee86f23cc2c8,Department of Biomolecular Medicine,['030121']
c72f0380-d86a-4318-904b-cba8e1523cce,Evolutionary ecology group (EVECO),['010601']
a4bcdcdc-6b5a-49a0-b985-d53619a48866,Department of French,"['060201', '060202', '060203']"
5b20eeae-491b-4b17-9670-3d67dc1e5e75,Department Academic Management,[]
005c4a6b-a6f5-45ab-a208-d76f1e90d0ac,Center of Applied Linguistics,"['0503', '0602']"
0b7a1695-bcb9-4f20-a254-4c06d33d8121,"Antwerp surgical training, anatomy and research centre",[]
ee719936-478d-462f-91e7-625f84709136,Communication Sciences,['050801']
0f542fff-9f66-44e3-ae5c-44ee1bcc99fe,Astronomy,['010301']
b3470804-966e-4c92-8f5e-436529787004,Electron microscopy for materials research (EMAT),"['010304', '010401']"
ec213af3-cba4-4bb4-b0bf-9a6203195a5e,Romanian Studies,"['050301', '060201', '060203']"
6b677c0c-17d5-479e-8b55-0c160dc272ea,Institute for Applied Economic Research,['0502']
988e4b5c-5c9a-477e-bc53-8d362d79207e,Directorate facility management & ict,[]
9227b5cc-67a1-436d-a945-1bf1ff747006,Research Group for Neurorehabilitation (eNRGy),"['030126', '030402', '030405', '030626']"
0c3698c6-4fc5-4afa-ac10-18504b32aabb,Primary and Interdisciplinary Care Antwerp,[]
771c8936-bc1c-44ed-8cff-e3df8596d499,Movement Antwerp (MOVANT),"['030126', '030226', '030402', '030405', '030626']"
a9c2010a-29f0-4af0-9f11-edce631e81b7,Antwerp Cultural Heritage Sciences (ARCHES),"['020206', '020601', '020804', '060406', '060412']"
899329ba-96c9-46a5-8c42-097d77889a87,Collaborative Antwerp Psychiatric Research Institute,[]
979d98f2-ce2f-4103-8350-d578a14abd49,Clinical Pharmacology and Clinical Pharmacy,"['030502', '030508']"
eef7169b-796e-4e39-8d33-e7e0be01eda4,Dean's Office of the Faculty of Veterinary Medicine,[]
d8a7c55f-bb37-410d-98cc-259845f415c1,Department of Linguistics,[]
941890fc-26eb-47e8-9232-d0dc3c2ff75e,"Laboratory for Microbiology, Parasitology and Hygiene (LMPH)","['010608', '010611', '030116', '030120', '030216', '030220', '030501', '030502', '030504', '030506', '030507', '030508', '030509', '030510', '030599', '030616', '030620', '040201']"
5e23bfbb-d9c5-4d7b-92a6-08dff206d372,Department of Marketing,['050207']
5fb5ccce-cee7-4fe0-92be-756bd2d2d1ca,Department of Physical medicine and orthopaedic surgery,['030126']
f13dfb50-e6f8-41f8-88a5-3d829ce7ad92,Financial Administration Office,['050201']
1a0790f5-adad-478e-bec6-1418c9ed6b1b,Zoology Museum,['04029999']
f9c2cdba-d92a-4b47-ba85-f4a4b4dc9740,Department of Philosophy and moral sciences,"['060302', '060303']"
e607e33a-5c85-4860-bde0-075820c55431,"Medieval History, Leuven",['060104']
985f9958-8d96-402e-b877-40557d1b7b42,"Territorial Development, Environmental Planning and Projects",[]
a1aec44d-3de5-4017-aafa-e42cef789e6b,GF Photography,[]
51aea8b7-a8ef-4e4c-9202-41a24c7d6783,Administrative Office,['020111']
3a6fe27e-b2fa-452b-9b23-9f2eaa92684f,Leuven Centre for Irish Studies,"['060301', '060302', '060399', '060304', '060102', '060104', '060199', '060403', '060404', '060405', '060407', '060410', '060411', '060412', '060499', '069901', '069902', '060201', '060203', '060204', '060205', '060206', '060299', '050502', '050201', '050204', '050205', '050209', '050210']"
c7d9be6b-212e-459d-a4d3-385f7d29242a,Data,[]
648faf73-2ffa-49cd-aca4-d36dcb1ee18c,PR & Communication Services of the Faculty Bioscience Engineering,"['040103', '050801', '050899', '050805', '050803', '040102', '040101', '040199']"
0835e44c-b98e-4779-acb3-dfa1d6f2386f,Office of External communications,"['050801', '050899', '050805', '050803']"
c159ad53-32d5-4527-8543-2cb2a3bb9c44,Chief Logistics Administrator,[]
202d195c-64b9-4c0e-80d0-33ce6c4ea027,Research Group Social and Economic Policy and Social Inclusion,"['050201', '050204', '050205', '050209', '050210', '050409', '050499']"
9fcead8c-5ccd-484c-b0cb-c8a3fe70bd57,Leuven Space and Society Centre,['020111']
6ffe0667-7c6c-423e-be8f-b0d2bfb3d29e,Communications Office,"['050801', '050899', '050805', '050803']"
56238167-c5b5-4716-8d17-2c8380acdbae,"Comparative, Historical and Applied Linguistics, Brussels Campus","['060202', '060205', '060299', '050301', '060203', '060204', '060201']"
0cc49bf2-8519-478d-9898-63c094b6fcb8,Faculty of Bioscience Engineering,"['040101', '040102', '040103', '040199']"
9a80ff7b-ca52-4eb8-8e6d-e2185772554b,Toxicology and Pharmacology,"['030501', '030502', '030504', '030506', '030507', '030508', '030509', '030510', '030599']"
4073628c-cf07-4e8b-aa9c-b58857866728,"Department of Accountancy, Finance and Insurance (AFI), Leuven","['050201', '050204', '050205', '050209', '050210', '050202']"
be116c7c-53eb-4f6d-8da1-42feef979d7e,Facility,[]
180c74cb-bdba-4011-a5b9-ad9c839760ef,Non-communicable Diseases,[]
71bd3d34-89df-4e80-8b94-47fd41cdde8d,Dentistry,['010699']
b802adc6-7340-4a8e-b695-fa5230206272,Humanities and Social Sciences Institutes and Centres,[]
91d6bd91-c8a6-4621-befe-a05217d560fb,Archive Unit,['010204']
2a9719d3-a2a0-4d6a-aa39-a985d9211d54,Department of Imaging & Pathology,"['030116', '030128', '030132', '030199', '030399', '030403', '030499', '030616', '030628', '030632', '030699', '039999', '030118', '030618']"
c97a6b7a-f97e-49b2-8fc4-7df2bc04e72c,Theragnostic Laboratory,"['030116', '030128', '030132', '030199', '030399', '030403', '030499', '030616', '030628', '030632', '030699', '039999']"
733f2add-231c-428a-aa36-ceeb38359466,Department of Oncology,"['030124', '030624', '030224']"
12729978-0f45-4516-84ff-6e844d1d3dbf,"Department of Marketing, Brussels Campus","['050210', '050207', '050299']"
759d0d42-2784-4b21-98dd-011292141643,"Bio- & Chemical Systems Technology, Reactor Engineering and Safety Section","['010499', '029999', '020401', '020402', '020403', '020404', '020405', '020407', '020499']"
3af9973b-5dbf-4409-8da6-b81e5146ff5f,Research Group for Adapted Physical Activity and Psychomotor Rehabilitation,"['030126', '030402', '030405', '030626']"
89134d74-b82a-4d0e-b4bd-1e81de84bfd0,Department of Clinical Sciences,[]
ad2eaa0d-fefd-4d4d-bd5a-83c0e4153087,"Research Centre for Information Systems Engineering (LIRIS), Brussels Campus","['050201', '050204', '050205', '050209', '050210']"
b0a99bb6-0ee6-4c46-bea0-fc030ccca860,Institute for Contract Law,"['050502', '050599']"
11e5d569-8eff-4c11-bcd7-6e4465ce80ef,Research Group for Neurobiology and Gene Therapy,"['030123', '030623', '050103', '050105', '050106']"
db592663-7d99-4440-b490-c5f5574d7c3e,Intergroup / Interuniversity Institutes,['029999']
03e1e515-5040-4391-9030-3d4e1007ee10,Centre for Sociological Research,"['050402', '050404', '050406', '050407', '050408', '050410', '050499']"
d265c086-5907-4b76-b75d-498713f1bdc7,Clinical Pharmacology and Pharmacotherapy,"['030501', '030502', '030504', '030506', '030507', '030508', '030509', '030510', '030599']"
e37379c0-a98f-40eb-89be-8df22a417a42,Institute for European Studies,"['050502', '050602']"
fc469474-4ded-46ea-9faf-7a823852f45b,Work and Organisational Psychology,"['050201', '050110', '050206', '050102', '050109', '050207', '050107']"
e108e305-930f-4c30-9cd1-200f87fd66c5,WE Academic Unit,[]
edae522b-30d1-40d8-82ec-426cfc8ad606,Centre for Polemology,"['0599', '0502', '0505']"
8a3a4a93-f21e-4c20-8488-2e0d931dab93,General and Biological Chemistry,"['010611', '030104', '030107']"
35323028-a460-4f4d-8d38-b82c44a44f53,Location and Distribution,['0502']
be478408-0e76-4487-8291-93dc90b4e346,Constitutional and Administrative Law,['0505']
1a92288a-f2fd-45b0-9f69-bde917d148e8,Movement and Sports Training,['050301']
c1717e04-32b7-4f28-a824-32ce0dce3845,Centre for Juridical Informatics,['0603']
